SZ,VZ,VA,gLAI,BRF_toc,BRF_toc(NIR),BRF_toa,,NDVI
10,40,180,0.01,0.191186,0.283681,0.165029,,0.194780854
10,40,180,0.1,0.174737,0.287466,0.151763,,0.243894999
10,40,180,0.5,0.12102,0.311074,0.110576,,0.439844108
10,40,180,1,0.081072,0.341039,0.080248,,0.61587355
10,40,180,2,0.045393,0.410546,0.055417,,0.800881258
10,40,180,3,0.033369,0.470605,0.045226,,0.867576502
10,40,180,4,0.029542,0.523031,0.043056,,0.893074761
10,40,180,5,0.028304,0.562549,0.042148,,0.904192752
10,40,180,6,0.027794,0.59264,0.041743,,0.910404652
10,40,180,7,0.028219,0.626338,0.041596,,0.913776799
10,50,0,0.01,0.191099,0.284075,0.165372,,0.195667271
10,50,0,0.1,0.173507,0.290265,0.152465,,0.251757329
10,50,0,0.5,0.117868,0.325723,0.110766,,0.468573528
10,50,0,1,0.078806,0.364929,0.082839,,0.644806022
10,50,0,2,0.046393,0.44551,0.060378,,0.811373381
10,50,0,3,0.036761,0.510223,0.052824,,0.865586562
10,50,0,4,0.034235,0.565369,0.051516,,0.885807967
10,50,0,5,0.033634,0.605018,0.050933,,0.894671903
10,50,0,6,0.033525,0.634902,0.05079,,0.899689869
10,50,0,7,0.034399,0.670005,0.050796,,0.902331617
10,50,18,0.01,0.191097,0.284065,0.164937,,0.195655376
10,50,18,0.1,0.173494,0.290195,0.152328,,0.251679466
10,50,18,0.5,0.117779,0.3254,0.110403,,0.468481133
10,50,18,1,0.078671,0.364458,0.082642,,0.64492958
10,50,18,2,0.046202,0.44484,0.060043,,0.811820577
10,50,18,3,0.036562,0.509363,0.052737,,0.866054861
10,50,18,4,0.034029,0.564307,0.051124,,0.886254546
10,50,18,5,0.033437,0.603964,0.050843,,0.895083315
10,50,18,6,0.033304,0.634118,0.050365,,0.900201072
10,50,18,7,0.034171,0.668796,0.050486,,0.902780643
10,50,36,0.01,0.191092,0.284041,0.164963,,0.19562733
10,50,36,0.1,0.173448,0.289982,0.151849,,0.251459767
10,50,36,0.5,0.11758,0.3243,0.110091,,0.467819317
10,50,36,1,0.078275,0.362988,0.081903,,0.645222917
10,50,36,2,0.045682,0.442417,0.059127,,0.812816662
10,50,36,3,0.035993,0.506428,0.052195,,0.867287587
10,50,36,4,0.033436,0.560994,0.050212,,0.887502313
10,50,36,5,0.032825,0.600812,0.050042,,0.896391783
10,50,36,6,0.032662,0.630956,0.049603,,0.901563851
10,50,36,7,0.033491,0.665029,0.049594,,0.904108687
10,50,54,0.01,0.191085,0.284004,0.16429,,0.195582301
10,50,54,0.1,0.173373,0.289663,0.151101,,0.251146779
10,50,54,0.5,0.117209,0.322857,0.109456,,0.467311721
10,50,54,1,0.077695,0.360582,0.080983,,0.645452533
10,50,54,2,0.044909,0.438932,0.058139,,0.814364636
10,50,54,3,0.035158,0.502458,0.051039,,0.869207762
10,50,54,4,0.03258,0.556384,0.049076,,0.889365055
10,50,54,5,0.031943,0.596196,0.0492,,0.898293212
10,50,54,6,0.031735,0.62598,0.048609,,0.903499236
10,50,54,7,0.032516,0.66007,0.04834,,0.906102636
10,50,72,0.01,0.191076,0.283961,0.163909,,0.195532137
10,50,72,0.1,0.173286,0.289282,0.150055,,0.250765293
10,50,72,0.5,0.116839,0.321055,0.108263,,0.466359439
10,50,72,1,0.077032,0.357933,0.080278,,0.645801386
10,50,72,2,0.04403,0.434934,0.057004,,0.816144846
10,50,72,3,0.034188,0.497924,0.049827,,0.871500737
10,50,72,4,0.031574,0.551394,0.04783,,0.891678445
10,50,72,5,0.030911,0.590929,0.047951,,0.900582143
10,50,72,6,0.030674,0.620311,0.047187,,0.905761269
10,50,72,7,0.031393,0.654323,0.047021,,0.908437312
10,50,90,0.01,0.191067,0.283916,0.16299,,0.195478575
10,50,90,0.1,0.173191,0.288891,0.14979,,0.250388459
10,50,90,0.5,0.116398,0.319302,0.107695,,0.46569658
10,50,90,1,0.076342,0.355044,0.079084,,0.646061764
10,50,90,2,0.043107,0.430896,0.05609,,0.818115075
10,50,90,3,0.033193,0.493367,0.048237,,0.873925099
10,50,90,4,0.030548,0.546212,0.046547,,0.894070324
10,50,90,5,0.029859,0.585705,0.046775,,0.902986529
10,50,90,6,0.029602,0.614605,0.046039,,0.908097863
10,50,90,7,0.030253,0.648641,0.04588,,0.91087563
10,50,108,0.01,0.191058,0.283873,0.162778,,0.195428389
10,50,108,0.1,0.173101,0.288534,0.149389,,0.250052531
10,50,108,0.5,0.116038,0.317674,0.107375,,0.464907588
10,50,108,1,0.075703,0.352447,0.07842,,0.646371599
10,50,108,2,0.042252,0.42731,0.055306,,0.820036545
