SZ,VZ,VA,gLAI,BRF_toc,BRF_toc(NIR),BRF_toa,,NDVI
10,40,90,1,0.086643,0.349751,0.086428,,0.602913881
10,40,90,2,0.052306,0.42351,0.06156,,0.780141904
10,40,90,3,0.040315,0.491466,0.052408,,0.848377434
10,40,90,4,0.036269,0.543289,0.049986,,0.874839102
10,40,90,5,0.035297,0.586362,0.049381,,0.886442567
10,40,90,6,0.035198,0.621619,0.048431,,0.892822506
10,40,90,7,0.035606,0.654652,0.049216,,0.896832778
10,40,108,0.01,0.191304,0.283736,0.165593,,0.194577299
10,40,108,0.1,0.175709,0.288141,0.153268,,0.242388703
10,40,108,0.5,0.124433,0.313436,0.114488,,0.431642797
10,40,108,1,0.086031,0.347355,0.08558,,0.602982099
10,40,108,2,0.051466,0.420073,0.060545,,0.781710527
10,40,108,3,0.03939,0.487361,0.05141,,0.85044167
10,40,108,4,0.03533,0.538816,0.049018,,0.876930258
10,40,108,5,0.034316,0.581285,0.048107,,0.888512202
10,40,108,6,0.034183,0.616445,0.047279,,0.894923059
10,40,108,7,0.034556,0.649116,0.048101,,0.898910589
10,40,126,0.01,0.191298,0.283706,0.165593,,0.19454152
10,40,126,0.1,0.175646,0.287875,0.152985,,0.242122795
10,40,126,0.5,0.124178,0.312199,0.113956,,0.430868263
10,40,126,1,0.085545,0.345408,0.084428,,0.60299615
10,40,126,2,0.050775,0.417176,0.059551,,0.782990099
10,40,126,3,0.038624,0.483872,0.050508,,0.852155806
10,40,126,4,0.034548,0.53509,0.047989,,0.878701912
10,40,126,5,0.033506,0.577214,0.047149,,0.890273775
10,40,126,6,0.033353,0.611962,0.046518,,0.896630328
10,40,126,7,0.033686,0.644333,0.047289,,0.900634053
10,40,144,0.01,0.191293,0.283682,0.165171,,0.194513395
10,40,144,0.1,0.175597,0.287684,0.152527,,0.241941716
10,40,144,0.5,0.123931,0.311346,0.113551,,0.430564905
10,40,144,1,0.085166,0.343761,0.083869,,0.602888137
10,40,144,2,0.050255,0.415014,0.059028,,0.783974432
10,40,144,3,0.038059,0.481222,0.049718,,0.853416551
10,40,144,4,0.033967,0.532534,0.047489,,0.880081412
10,40,144,5,0.032906,0.574216,0.046733,,0.891600041
10,40,144,6,0.03274,0.608538,0.046008,,0.897891398
10,40,144,7,0.033038,0.640893,0.046642,,0.901954354
10,40,162,0.01,0.19129,0.283668,0.16504,,0.194497198
10,40,162,0.1,0.175567,0.287565,0.151947,,0.241827384
10,40,162,0.5,0.123804,0.310837,0.112861,,0.430316054
10,40,162,1,0.084955,0.342808,0.083577,,0.602794071
10,40,162,2,0.049929,0.413625,0.058548,,0.784581732
10,40,162,3,0.037704,0.47964,0.049363,,0.854240119
10,40,162,4,0.033609,0.53097,0.047083,,0.880941374
10,40,162,5,0.032545,0.572642,0.046438,,0.892446467
10,40,162,6,0.032358,0.606728,0.045597,,0.898736633
10,40,162,7,0.032636,0.638962,0.04612,,0.902810908
10,40,180,0.01,0.191289,0.283664,0.165179,,0.194492929
10,40,180,0.1,0.175557,0.287529,0.152057,,0.24179526
10,40,180,0.5,0.123759,0.310699,0.113057,,0.430283249
10,40,180,1,0.084852,0.342438,0.083509,,0.602836481
10,40,180,2,0.049808,0.413141,0.058586,,0.78482295
10,40,180,3,0.037589,0.47903,0.049337,,0.854480768
10,40,180,4,0.033496,0.530529,0.04673,,0.881225123
10,40,180,5,0.03242,0.572183,0.04615,,0.892756073
10,40,180,6,0.032221,0.605951,0.045794,,0.899020954
10,40,180,7,0.032503,0.638362,0.045935,,0.90310122
10,50,0,0.01,0.191211,0.284042,0.165557,,0.195329645
